accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,lfoot_fl,lfoot_fr,lfoot_rl,lfoot_rr,rfoot_fl,rfoot_fr,rfoot_rl,rfoot_rr,vx,vy,wz,vtotal,StepHeight,MaxStepX,MaxStepY,MaxStepTheta,Frequency,timestamp
2.1875,0.375,-65.375,0.0,0.76293951272964478,0.42915347218513489,-0.0034511724952608347,-0.0015341599937528372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.64169
2.375,0.5,-65.3125,0.23841859400272369,-1.7642976045608521,0.286102294921875,-0.0034511724952608347,-1.7484555314695172e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.7474451
2.375,0.5,-65.3125,0.23841859400272369,-1.7642976045608521,0.286102294921875,-0.0034511724952608347,-1.7484555314695172e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.8586171
2.375,0.5,-65.3125,0.23841859400272369,-1.7642976045608521,0.286102294921875,-0.0034511724952608347,-1.7484555314695172e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.9593711
2.375,0.5,-65.3125,-0.047683719545602798,0.0,-0.7152557373046875,-0.0034511724952608347,0.00057489075697958469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.069452
2.5,0.43750002980232239,-65.4375,-0.047683719545602798,0.0,-0.7152557373046875,-0.0034511724952608347,0.00057489075697958469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.169874
2.5,0.43750002980232239,-65.4375,-0.047683719545602798,0.0,-0.7152557373046875,-0.0034511724952608347,0.00057489075697958469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.2704611
2.5,0.43750002980232239,-65.375,-0.23841859400272369,-0.61988836526870728,-0.047683719545602798,-0.0034511724952608347,-0.00019186337885912508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.395467
2.1875,0.43750002980232239,-65.375,-0.23841859400272369,-0.61988836526870728,-0.047683719545602798,-0.0034511724952608347,-0.00019186337885912508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.4750891
2.1875,0.43750002980232239,-65.375,-0.23841859400272369,-0.61988836526870728,-0.047683719545602798,-0.0034511724952608347,-0.00019186337885912508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.5738859
2.1875,0.43750002980232239,-65.375,-0.23841859400272369,-0.61988836526870728,-0.047683719545602798,-0.0034511724952608347,-0.00019186337885912508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.6833241
2.0625,0.43750002980232239,-65.3125,-0.47683718800544739,-1.1444091796875,-1.0967254638671875,-0.0032594839576631784,-0.0013424714561551809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.791563
2.0625,0.43750002980232239,-65.3125,-0.47683718800544739,-1.1444091796875,-1.0967254638671875,-0.0032594839576631784,-0.0013424714561551809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481835.889523
